ブンカフェー,ぶんかふぇー,0700035,北海道旭川市 5条通7 旭川フードテラス1F,0166-73-5099,旭川駅,旭川駅から直線距離で841m,海抜110m,カフェ,43.7701795,142.36046041,https://r.gnavi.co.jp/c43nna1c0000/
喫茶アントレ,きっさあんとれ,0700037,北海道旭川市７条通６丁目,0166-24-8548,旭川駅,旭川駅から直線距離で1129m,海抜109m,甘味処,43.77280283,142.36045755,
珈琲亭 ちろる,こーひーていちろる,0700033,北海道旭川市 三条通8左7,0166-26-7788,旭川駅,旭川駅から直線距離で606m,海抜112m,コーヒー,43.76779935,142.36143265,https://r.gnavi.co.jp/6s45a26r0000/
ＡＬＬ・ＴＩＭＥＳ・ＣＡＦＥ,おーるたいむすかふぇ,0700033,北海道旭川市３条通８丁目,0166-21-3691,旭川駅,旭川駅から直線距離で567m,海抜112m,カフェ,43.76745071,142.36134392,
ブラジル,ぶらじる,0700033,北海道旭川市 3条通8,0166-26-3517,旭川駅,旭川駅から直線距離で561m,海抜112m,喫茶店・軽食,43.76740795,142.36127735,https://r.gnavi.co.jp/p6sb4ru00000/
ブレンド喫茶,ぶれんどきっさ,0700033,北海道旭川市 3条通8,0166-24-5139,旭川駅,旭川駅から直線距離で561m,海抜112m,喫茶店・軽食,43.76740795,142.36127735,https://r.gnavi.co.jp/mg9jsc3n0000/
宮越屋珈琲 旭川店,みやこしやこーひーあさひかわてん,0700033,北海道旭川市 3条通7-418-1 オクノ1F,0166-27-8224,旭川駅,旭川駅から直線距離で572m,海抜112m,コーヒー,43.76782431,142.35956906,https://r.gnavi.co.jp/1m2smvun0000/
ＣＡＮＶＡＳ,かんばす,0700033,北海道旭川市３条通７丁目３２９−１,0166-76-4330,旭川駅,旭川駅から直線距離で583m,海抜111m,"カラオケ喫茶
バー",43.76795897,142.3589636,
Ａｔｔｉｃｃａｆｅ,あてぃっくかふぇ,0700032,北海道旭川市２条通８丁目２２２,0166-85-6772,旭川駅,旭川駅から直線距離で484m,海抜112m,"カフェ
喫茶店",43.76694243,142.36014966,
喫茶りっか,きつさりつか,0700036,北海道旭川市６条通４丁目,0166-24-0088,旭川駅,旭川駅から直線距離で1095m,海抜108m,喫茶店,43.77249445,142.35700509,
シエル,しえる,0700034,北海道旭川市４条通５丁目２０２,0166-27-1129,旭川駅,旭川駅から直線距離で810m,海抜110m,喫茶店,43.76992257,142.35714415,
cafe quarter,かふぇくぉーたー,0700037,北海道旭川市 7条通4 ライオンズマンション常盤公園1F,0166-25-6428,旭川駅,旭川駅から直線距離で1203m,海抜108m,喫茶店・軽食,43.77348999,142.35723258,https://r.gnavi.co.jp/snc2f4as0000/
なん喫茶,なんきっさ,0700033,北海道旭川市 三条通6,0166-23-8143,旭川駅,旭川駅から直線距離で632m,海抜111m,喫茶店・軽食,43.76836868,142.35785237,https://r.gnavi.co.jp/5zcf0rg30000/
Deux Cafe,どぅーかふぇ,0700032,北海道旭川市 二条通8-右2 サンエイビル2F,0166-27-6200,旭川駅,旭川駅から直線距離で401m,海抜113m,カフェ,43.76604127,142.36064128,https://r.gnavi.co.jp/ksbn2sy70000/
誉,ほまれ,0700033,北海道旭川市３条通６丁目右２,0166-22-0066,旭川駅,旭川駅から直線距離で615m,海抜111m,カラオケ喫茶,43.76816999,142.35739424,
石庭喫茶,せきていきっさ,0700032,北海道旭川市２条通６丁目,0166-22-2936,旭川駅,旭川駅から直線距離で524m,海抜111m,喫茶店,43.76733949,142.35738319,
コミヤマ,こみやま,0700000,北海道旭川市 二条通6,0166-25-4470,旭川駅,旭川駅から直線距離で521m,海抜111m,喫茶店・軽食,43.76729929,142.35731659,https://r.gnavi.co.jp/18vjsunx0000/
カフェ・ドゥ・コリンズ,かふぇどぅこりんず,0700031,北海道旭川市 1条通7-43-40 ashビル B1,0166-26-8656,旭川駅,旭川駅から直線距離で352m,海抜113m,カフェ,43.76587614,142.3590239,https://r.gnavi.co.jp/c6y5xseu0000/
エルザ,えるざ,0750011,北海道芦別市北１条東１丁目２−１８,0124-23-0082,芦別駅,芦別駅から直線距離で363m,海抜92m,喫茶店,43.51767532,142.18882861,
レストラン喫茶パレス,れすとらんきっさぱれす,0750011,北海道芦別市 北一条東1-6-12,0124-22-2956,芦別駅,芦別駅から直線距離で235m,海抜92m,喫茶店・軽食,43.51766663,142.18711543,https://r.gnavi.co.jp/mayg9crx0000/
ひだまり,ひだまり,0750001,北海道芦別市 北一条西1-2-13,0124-22-2667,芦別駅,芦別駅から直線距離で97m,海抜93m,喫茶店・軽食,43.51718322,142.18551266,https://r.gnavi.co.jp/12vwz6um0000/
友歩嶺,ゆうふれ,0750001,北海道芦別市 北一条西1-2-2,0124-22-8091,芦別駅,芦別駅から直線距離で71m,海抜93m,喫茶店・軽食,43.51669712,142.18545186,https://r.gnavi.co.jp/e0j9uk6j0000/
ダンデー・スナック＆喫茶,だんでーすなっくあんどきっさ,0750001,北海道芦別市北１条西１丁目１２−１１,0124-22-2712,芦別駅,芦別駅から直線距離で246m,海抜91m,喫茶店,43.51884173,142.18437065,
獏,ばく,0750002,北海道芦別市 北2条西1-3,0124-23-0007,芦別駅,芦別駅から直線距離で386m,海抜90m,喫茶店・軽食,43.52011161,142.18449335,https://r.gnavi.co.jp/gdytbz260000/
コーヒー獏,こーひーばく,0750002,北海道芦別市北２条西１丁目３−１３,0124-23-0007,芦別駅,芦別駅から直線距離で391m,海抜90m,"カフェ
喫茶店",43.52014987,142.18438996,
カフェあんだんて,かふぇあんだんて,0750013,北海道芦別市北３条東１丁目１１−６,0124-22-0351,芦別駅,芦別駅から直線距離で809m,海抜86m,甘味処,43.52384947,142.18594798,
喫茶 きらり,きっさきらり,0893701,北海道足寄郡足寄町 北1条4-48-1,0156-25-2141,,,海抜87m,カフェ,43.24479467,143.55400697,https://r.gnavi.co.jp/98d7aksw0000/
ティーバード,てぃーばーど,0893733,北海道足寄郡足寄町 西町4-1-11,0156-25-3626,,,海抜103m,喫茶店・軽食,43.24261952,143.54362488,https://r.gnavi.co.jp/hfae10z30000/
コーヒーハウス 華宴,こーひーはうすかえん,0881151,北海道厚岸郡厚岸町 真栄2-76,0153-52-4030,厚岸駅,厚岸駅から直線距離で478m,海抜2m,喫茶店・軽食,43.05387106,144.8461327,https://r.gnavi.co.jp/r7thux5d0000/
アポロ,あぽろ,0881151,北海道厚岸郡厚岸町真栄１丁目２０５,0153-52-2218,厚岸駅,厚岸駅から直線距離で195m,海抜2m,喫茶店,43.05457252,144.84209638,
森高牧場 直営店,もりたかぼくじょうちょくえいてん,0881124,北海道厚岸郡厚岸町 宮園1-375,0153-52-7707,厚岸駅,厚岸駅から直線距離で1434m,海抜4m,カフェ,43.06037375,144.82453964,https://r.gnavi.co.jp/8etr4nc30000/
エラブル（Ｅｒａｂｌｅ）,えらぶる,0881145,北海道厚岸郡厚岸町太田５の通り１８−１１,0153-52-0070,門静駅,門静駅から直線距離で4082m,海抜85m,"フランス料理
イタリア料理
カフェ",43.09378553,144.79098163,
夢風舎,ゆめふうしゃ,0881137,北海道厚岸郡厚岸町 片無去669,0153-57-2230,尾幌駅,尾幌駅から直線距離で7690m,海抜78m,カフェ,43.08749337,144.69606417,https://r.gnavi.co.jp/knw1456k0000/
カンペシーノ,かんぺしーの,0431238,北海道檜山郡厚沢部町字鶉８３８,0139-56-1089,,,海抜63m,"喫茶店
カレー",41.91440005,140.28689643,
厚真町　まちなか交流館・しゃべーる,あつまちょうまちなかこうりゅうかんしゃべーる,0591601,北海道勇払郡厚真町京町１２,0145-29-7022,早来駅,早来駅から直線距離で6909m,海抜17m,カフェ,42.72530004,141.87865059,
寒露,かんろ,0591602,北海道勇払郡厚真町 表町51-8,0145-29-7850,早来駅,早来駅から直線距離で6567m,海抜18m,喫茶店・軽食,42.72578637,141.87367508,https://r.gnavi.co.jp/2j9cmfmv0000/
Momo cafe,ももかふぇ,0591624,北海道勇払郡厚真町 豊沢495-4,0145-29-7020,早来駅,早来駅から直線距離で8622m,海抜29m,カフェ,42.70715618,141.88373916,https://r.gnavi.co.jp/fskxkage0000/
CAFE Trianon,かふぇとりあのん,0591742,北海道勇払郡厚真町 字浜厚真17-6,0145-28-2800,浜厚真駅,浜厚真駅から直線距離で1456m,海抜1m,カフェ,42.61012434,141.81982776,https://r.gnavi.co.jp/fbwx34jv0000/
喫茶琥珀,きっさこはく,0930005,北海道網走市南５条東１丁目１１,0152-43-4948,桂台駅,桂台駅から直線距離で532m,海抜5m,喫茶店,44.02031672,144.26883307,
カフェ＆ランチギブソン,かふえあんどらんちぎぶそん,0930003,北海道網走市南３条東１丁目,0152-43-3638,桂台駅,桂台駅から直線距離で640m,海抜5m,"カフェ
喫茶店",44.02151097,144.2687302,
ギブソン,ぎぶそん,0930003,北海道網走市 南三条東1,0152-43-3638,桂台駅,桂台駅から直線距離で697m,海抜5m,カフェ,44.02163541,144.26778188,https://r.gnavi.co.jp/m512b7220000/
SPUTNIC,すぷーとにく,0930014,北海道網走市 南四条西2-8-1,0152-43-5521,桂台駅,桂台駅から直線距離で719m,海抜6m,カフェ,44.02050283,144.26598969,https://r.gnavi.co.jp/e9k1kugj0000/
鯛焼きカフェ あずき,たいやきかふぇあずき,0930005,北海道網走市 南5条東2-6,0152-55-4110,桂台駅,桂台駅から直線距離で478m,海抜4m,カフェ,44.02069742,144.27078094,https://r.gnavi.co.jp/jemnheze0000/
ちゃやふぉるて,ちゃやふぉるて,0930019,北海道網走市 南九条西2,0152-44-7015,桂台駅,桂台駅から直線距離で609m,海抜5m,喫茶店・軽食,44.01782536,144.26590105,https://r.gnavi.co.jp/pg6dupag0000/
珈琲屋デリカップ,こーひーやでりかっぷ,0930014,北海道網走市 南4条西3-14,0152-44-4519,網走駅,網走駅から直線距離で719m,海抜8m,喫茶店・軽食,44.02054539,144.26314026,https://r.gnavi.co.jp/nfnepuxg0000/
食堂カフェ manma,しょくどうかふぇまんま,0930072,北海道網走市 北2条西3-3,0152-61-4828,網走駅,網走駅から直線距離で831m,海抜6m,カフェ,44.02373554,144.26303683,https://r.gnavi.co.jp/n1a3xa750000/
ちぱしり,ちぱしり,0930041,北海道網走市 桂町2-40-12,0152-45-7840,桂台駅,桂台駅から直線距離で303m,海抜55m,喫茶店・軽食,44.01428843,144.27199168,https://r.gnavi.co.jp/fd4n36nf0000/
シーニック・カフェ 帽子岩,しーにっくかふぇぼうしいわ,0930004,北海道網走市 南4条東6-2-1 流氷硝子館内,0152-43-3480,桂台駅,桂台駅から直線距離で643m,海抜3m,カフェ,44.02193911,144.27711337,https://r.gnavi.co.jp/8tdr20mr0000/
日曜島,にちようじま,0930031,北海道網走市 台町3-3-5,0152-43-1261,桂台駅,桂台駅から直線距離で465m,海抜49m,カフェ,44.0128153,144.27501168,https://r.gnavi.co.jp/jztry4cz0000/
はぜや珈琲,はぜやこーひー,0930033,北海道網走市 駒場北3-9-7,0152-67-9800,桂台駅,桂台駅から直線距離で1264m,海抜41m,コーヒー,44.0071914,144.28174486,https://r.gnavi.co.jp/7b7bv06n0000/
茶酒論,ちゃしゅろん,0930042,北海道網走市 潮見47-12,0152-43-3035,網走駅,網走駅から直線距離で2392m,海抜113m,カフェ,43.99859363,144.24898219,https://r.gnavi.co.jp/59je7k9t0000/
クレイオ,くれいお,0930044,北海道網走市 天都山245-1 オホーツク流氷館 1F,0152-43-5951,網走駅,網走駅から直線距離で2407m,海抜191m,カフェ,44.00089573,144.23955802,https://r.gnavi.co.jp/hyuc01cj0000/
グラスルーツ,ぐらするーつ,0930045,北海道網走市字大曲４６−１８,0152-43-2992,網走駅,網走駅から直線距離で2696m,海抜8m,カフェ,44.00288415,144.23011827,
Cafe Grass Roots,かふぇぐらするーつ,0930045,北海道網走市 大曲46-18,0152-43-2992,網走駅,網走駅から直線距離で2704m,海抜8m,カフェ,44.00287823,144.22997804,https://r.gnavi.co.jp/c22puj190000/
Linden,りんでん,0930034,北海道網走市 つくしケ丘5-5-9,0152-44-3146,鱒浦駅,鱒浦駅から直線距離で966m,海抜17m,カフェ,43.99083872,144.29215644,https://r.gnavi.co.jp/1r7xhrrf0000/
監獄食堂,かんごくしょくどう,0992421,北海道網走市 字呼人1-1 博物館網走監獄,0152-45-2411,網走駅,網走駅から直線距離で3351m,海抜55m,カフェ,43.99565701,144.22917051,https://r.gnavi.co.jp/rgtwrajx0000/
uminoba（うみのば）,うみのば,0993111,北海道網走市 藻琴14-1,0152-61-7870,藻琴駅,藻琴駅から直線距離で970m,海抜7m,カフェ,43.97443899,144.31114226,https://r.gnavi.co.jp/sr82zupd0000/
風花,ふうか,0992421,北海道網走市字呼人１２１−７,0152-48-2006,呼人駅,呼人駅から直線距離で777m,海抜103m,"カフェ
喫茶店",43.96895749,144.2254627,
cafe＆cake 風花,かふぇあんどけーきかざはな,0992421,北海道網走市 字呼人121-7,0152-48-2006,呼人駅,呼人駅から直線距離で775m,海抜101m,カフェ,43.96895482,144.22543992,https://r.gnavi.co.jp/6s684exn0000/
CAFE LODGE,かふぇろっじ,0992421,北海道網走市 呼人122-11,0152-48-3773,呼人駅,呼人駅から直線距離で721m,海抜101m,カフェ,43.96799364,144.22579274,https://r.gnavi.co.jp/e6s63rmr0000/
夕陽の家,ゆうひのいえ,0992421,北海道網走市 呼人352,0152-48-2427,呼人駅,呼人駅から直線距離で1454m,海抜3m,喫茶店・軽食,43.96077218,144.20133484,https://r.gnavi.co.jp/ret3wg9k0000/
麦わら帽子,むぎわらぼうし,0993112,北海道網走市 北浜16-12,0152-46-2037,北浜駅(北海道),北浜駅から直線距離で352m,海抜5m,カフェ,43.95664315,144.35626605,https://r.gnavi.co.jp/mrjdf6e30000/
停車場喫茶・北浜駅,ていしやばきっさきたはまえき,0993112,北海道網走市字北浜,0152-46-2410,北浜駅(北海道),北浜駅から直線距離で468m,海抜7m,喫茶店,43.95546938,144.35681003,
エルコンドル,えるこんどる,0930135,北海道網走市 字卯原内89-1,0152-47-2677,,,海抜4m,喫茶店・軽食,44.01378435,144.11155541,https://r.gnavi.co.jp/p54e3hv60000/
株式会社溝口農場,みぞぐちのうじょう,0591433,北海道勇払郡安平町遠浅４２５,0145-22-3666,遠浅駅,遠浅駅から直線距離で1891m,海抜14m,"喫茶店
甘味処",42.74138953,141.78528037,
おむすびカフェ結,おむすびかふぇゆい,0591911,北海道勇払郡安平町追分本町３丁目３,0145-29-7937,追分駅(北海道),追分駅から直線距離で142m,海抜47m,カフェ,42.87488804,141.81179767,
ａＢｌｕｅＬｅａｆ,あぶるーりーふ,0591941,北海道勇払郡安平町追分青葉２丁目１５３,0145-25-4085,追分駅(北海道),追分駅から直線距離で688m,海抜50m,"カフェ
喫茶店",42.87900966,141.80626452,
武田農園 メグズハウス,たけだのうえんめぐずはうす,0591982,北海道勇払郡安平町 追分美園265,0145-25-4091,追分駅(北海道),追分駅から直線距離で1673m,海抜55m,カフェ,42.88754796,141.81927661,https://r.gnavi.co.jp/e8r4jw0e0000/
画廊喫茶ムーンフェイス,がろうきっさむーんふぇいす,0830002,北海道中川郡池田町字清見１３２,015-572-2198,池田駅(北海道),池田駅から直線距離で1248m,海抜53m,喫茶店,42.93023948,143.46279686,
ムーンフェイス,むーんふぇいす,0830002,北海道中川郡池田町字清見１３２,015-572-2198,池田駅(北海道),池田駅から直線距離で1248m,海抜53m,喫茶店,42.93023948,143.46279686,
Do Luck 道楽,どぅらっくどうらく,0830034,北海道中川郡池田町 利別本町2-6,015-572-4949,利別駅,利別駅から直線距離で758m,海抜13m,喫茶店・軽食,42.92955134,143.43036455,https://r.gnavi.co.jp/jmwjsvbp0000/
道楽,どうらく,0830034,北海道中川郡池田町字利別本町２−６,015-572-4949,利別駅,利別駅から直線距離で707m,海抜13m,"喫茶店
お好み焼き",42.92973561,143.42970267,
ハッピネスデーリィ,はっぴねすでーりぃ,0830002,北海道中川郡池田町 清見103-2,015-572-2001,池田駅(北海道),池田駅から直線距離で1393m,海抜54m,喫茶店・軽食,42.92538906,143.4694537,https://r.gnavi.co.jp/angfktb50000/
ふじ,ふじ,0613282,北海道石狩市 花畔二条1-231-1,0133-64-4567,篠路駅,篠路駅から直線距離で5062m,海抜3m,喫茶店・軽食,43.17086582,141.31286513,https://r.gnavi.co.jp/6wa0wj4h0000/
ななや,ななや,0613218,北海道石狩市 花畔338-115,0133-62-9064,篠路駅,篠路駅から直線距離で5760m,海抜5m,カフェ,43.17458426,141.30593214,https://r.gnavi.co.jp/p6jeyvpj0000/
リセンヌ,りせんぬ,0613213,北海道石狩市 花川北3条2-143,0133-77-7743,篠路駅,篠路駅から直線距離で5010m,海抜4m,カフェ,43.16333066,141.30785498,https://r.gnavi.co.jp/c3yjhu0d0000/
ぽるぽ本店,ぽるぽほんてん,0613211,北海道石狩市花川北１条５丁目１１１,0133-77-8628,篠路駅,篠路駅から直線距離で4541m,海抜3m,カフェ,43.15319901,141.30946593,
伽羅珈琲舎,きやらこおひいしや,0613201,北海道石狩市花川南１条３丁目２２１,0133-73-0120,太平駅,太平駅から直線距離で4926m,海抜4m,コーヒー専門店,43.15349042,141.30458027,
Outdoor Cafe 野菜香房,あうとどあかふぇやさいこうぼう,0613221,北海道石狩市 緑苑台東1条2-79,0133-77-8811,篠路駅,篠路駅から直線距離で2573m,海抜3m,カフェ,43.15932439,141.33923275,https://r.gnavi.co.jp/jputu0wu0000/
あいマルシェ,あいまるしぇ,0613202,北海道石狩市花川南２条３丁目９１−２,0133-62-8123,太平駅,太平駅から直線距離で5226m,海抜4m,カフェ,43.15174882,141.29795879,
輪茶館,りんさかん,0613204,北海道石狩市 花川南4条2-271-17,0133-67-1911,稲積公園駅,稲積公園駅から直線距離で4999m,海抜3m,カフェ,43.14854286,141.29307705,https://r.gnavi.co.jp/5v86jt0g0000/
夕日の美術館,ゆうひのびじゅつかん,0613523,北海道石狩市厚田区望来３８９−２６８,0133-77-2210,,,海抜48m,コーヒー専門店,43.30493089,141.40610888,
天海珈琲,あまがいこーひー,0613522,北海道石狩市厚田区嶺泊６７−３,0133-77-3008,,,海抜20m,コーヒー専門店,43.33788293,141.42313298,
Diamant Pur,でぃあまんぴゅーる,0613603,北海道石狩市 厚田区小谷51-1,0133-78-2755,,,海抜49m,カフェ,43.38422835,141.4317116,https://r.gnavi.co.jp/hezn33tc0000/
さぼーる,さぼーる,0450003,北海道岩内郡岩内町 万代10-8,0135-62-3463,,,海抜3m,喫茶店・軽食,42.9822847,140.51716107,https://r.gnavi.co.jp/d6v5ugbd0000/
キッチンマカロニ,きっちんまかろに,0450013,北海道岩内郡岩内町字高台３−２,0135-62-2577,,,海抜4m,喫茶店,42.97989709,140.51015635,
かりん,かりん,0450013,北海道岩内郡岩内町字高台１−３,0135-62-5651,,,海抜4m,喫茶店,42.98091927,140.51031458,
珈琲苑,こーひーえん,0450003,北海道岩内郡岩内町 万代47-2,0135-62-4417,,,海抜2m,喫茶店・軽食,42.98327216,140.51686286,https://r.gnavi.co.jp/fzxy5kab0000/
Bee NuTs Cafe,びーなっつかふぇ,0450003,北海道岩内郡岩内町 万代12-5,0135-67-7233,,,海抜3m,カフェ,42.982793,140.51829996,https://r.gnavi.co.jp/jmhgn5mn0000/
クルー,くるー,0450003,北海道岩内郡岩内町 字万代51-3 木田金次郎美術館,0135-63-2221,,,海抜0m,喫茶店・軽食,42.98392324,140.51499188,https://r.gnavi.co.jp/9a1p23w90000/
万里加,まりか,0450011,北海道岩内郡岩内町字栄１７９−２,0135-62-3124,,,海抜23m,喫茶店,42.97919487,140.52253304,
喫茶万理加,きっさまりか,0450011,北海道岩内郡岩内町 栄179-2,0135-62-3124,,,海抜23m,喫茶店・軽食,42.97921042,140.52256356,https://r.gnavi.co.jp/9n95uey80000/
軽食レストラン にんじん,けいしょくれすとらんにんじん,0680000,北海道岩見沢市 12条西3-14-2,0126-22-8374,岩見沢駅,岩見沢駅から直線距離で1407m,海抜19m,カフェ,43.19475139,141.77098599,https://r.gnavi.co.jp/nxsrm4bg0000/
タッチ,たっち,0680827,北海道岩見沢市春日町１丁目２−４,0126-22-9671,岩見沢駅,岩見沢駅から直線距離で1904m,海抜31m,喫茶店,43.18979583,141.77210706,
オムライス屋さん喫茶タッチ,おむらいすやさんきっさたっち,0680827,北海道岩見沢市 春日町1-2-2,0126-22-9671,岩見沢駅,岩見沢駅から直線距離で1920m,海抜32m,喫茶店・軽食,43.1896489,141.77216125,https://r.gnavi.co.jp/3ydyvcbg0000/
ほっとかふぇ,ほっとかふぇ,0680025,北海道岩見沢市 五条西3-2 5条プラザビル 1F,0126-22-9164,岩見沢駅,岩見沢駅から直線距離で552m,海抜17m,カフェ,43.20141121,141.76512204,https://r.gnavi.co.jp/k76zz3470000/
Ａｍｉｃａ食彩癒酒Ｄｉｎｉｎｇ＆Ｃａｆｅ,あみかしょくさいいざかだいにんぐあんどかふぇ,0680025,北海道岩見沢市５条西４丁目５,0126-25-7272,岩見沢駅,岩見沢駅から直線距離で481m,海抜17m,"カフェ
居酒屋",43.20114137,141.76364875,
まちカフェアルテ,まちかふぇあるて,0680024,北海道岩見沢市 4条西3 であえーる2F,0126-35-4488,岩見沢駅,岩見沢駅から直線距離で423m,海抜17m,カフェ,43.20263037,141.76425814,https://r.gnavi.co.jp/kd6ww4r80000/
ニューリンカーン,にゅーりんかーん,0680024,北海道岩見沢市４条西４丁目１−３,0126-35-6616,岩見沢駅,岩見沢駅から直線距離で389m,海抜17m,カラオケ喫茶,43.20202735,141.76324043,
リンカーン,りんかーん,0680023,北海道岩見沢市３条西１丁目,0126-25-0766,岩見沢駅,岩見沢駅から直線距離で458m,海抜17m,喫茶店,43.20385499,141.76517344,
Ｗｉｎｅ＆ＤｉｎｅＲｉｎｔｏ,わいんあんどだいんりんと,0680026,北海道岩見沢市６条西９丁目９−１７,0126-24-0647,岩見沢駅,岩見沢駅から直線距離で739m,海抜16m,"カフェ
バー",43.19763888,141.76013269,
ＣＡＦＥ　ＭＡＲＥＡ,かふぇまれあ,0680026,北海道岩見沢市６条西１０丁目４−６,0126-35-5973,岩見沢駅,岩見沢駅から直線距離で817m,海抜16m,カフェ,43.19692505,141.75945499,
エスプレッソスタンドプラッツ　岩見沢本店,えすぷれっそすたんどぷらっついわみざわほんてん,0680021,北海道岩見沢市１条西３丁目５−１,0126-51-4669,岩見沢駅,岩見沢駅から直線距離で252m,海抜18m,カフェ,43.20422427,141.76265975,
天狗まんじゅう本舗 駅前店,てんぐまんじゅうほんぽえきまえてん,0680022,北海道岩見沢市 二条西6-9-1,0126-23-4605,岩見沢駅,岩見沢駅から直線距離で234m,海抜18m,甘味処,43.20230997,141.7606012,https://r.gnavi.co.jp/es9gh5ca0000/
にれ,にれ,0680021,北海道岩見沢市 一条西6-9-4,0126-24-1735,岩見沢駅,岩見沢駅から直線距離で180m,海抜17m,喫茶店・軽食,43.2026553,141.75947818,https://r.gnavi.co.jp/f1e9gvjs0000/
麦,むぎ,0680021,北海道岩見沢市１条西７丁目２−２,0126-22-4977,岩見沢駅,岩見沢駅から直線距離で221m,海抜17m,"カフェ
喫茶店",43.20232718,141.7590186,
